,enemy,gen,metric_max,metric_avg,method
0,3,0,77.19556220525179,10.618329024756504,Cellular-ES
1,3,1,77.19556220525179,14.39943908064284,Cellular-ES
2,3,2,77.19556220525179,19.351454696905076,Cellular-ES
3,3,3,88.29399506689742,23.106015227619373,Cellular-ES
4,3,4,88.29399506689742,28.24754646377286,Cellular-ES
5,3,5,90.27604842370658,31.984992340160368,Cellular-ES
6,3,6,90.27604842370658,34.64417609227386,Cellular-ES
7,3,7,90.27604842370658,38.98005787769192,Cellular-ES
8,3,8,90.27604842370658,42.86625043033985,Cellular-ES
9,3,9,90.27604842370658,46.00754173071658,Cellular-ES
10,3,10,90.27604842370658,47.44411870712647,Cellular-ES
11,3,11,90.27604842370658,50.06993484788929,Cellular-ES
12,3,12,91.1456061074085,52.67930814939254,Cellular-ES
13,3,13,91.1456061074085,55.795965905909895,Cellular-ES
14,3,14,91.1456061074085,58.05501780773342,Cellular-ES
15,3,15,91.1456061074085,59.95748806761894,Cellular-ES
16,3,16,91.1456061074085,62.041123224284675,Cellular-ES
17,3,17,91.6960091662691,63.75789263296568,Cellular-ES
18,3,18,91.6960091662691,65.72954003133074,Cellular-ES
19,3,19,91.6960091662691,67.44733505954879,Cellular-ES
20,3,20,91.6960091662691,69.26900792027996,Cellular-ES
21,3,21,91.92050018627741,71.33280065946212,Cellular-ES
22,3,22,91.92050018627741,72.57773716409199,Cellular-ES
23,3,23,91.92050018627741,73.96237950653352,Cellular-ES
24,3,24,92.14985239828994,75.61490870672318,Cellular-ES
25,3,25,92.14985239828994,76.45686100778072,Cellular-ES
26,3,26,92.72117088173957,77.07893742697732,Cellular-ES
27,3,27,92.72117088173957,77.90902175703361,Cellular-ES
28,3,28,92.72117088173957,78.79792528287194,Cellular-ES
29,3,29,92.72117088173957,78.93073179321117,Cellular-ES
30,3,30,93.76054768740669,79.44984255333027,Cellular-ES
31,3,31,93.76054768740669,80.37553914023675,Cellular-ES
32,3,32,93.76054768740669,80.83601156039065,Cellular-ES
33,3,33,93.76054768740669,81.69731072744828,Cellular-ES
34,3,34,93.76054768740669,82.13605071163276,Cellular-ES
35,3,35,93.76054768740669,82.49681822424907,Cellular-ES
36,3,36,93.76054768740669,82.773531359921,Cellular-ES
37,3,37,93.76054768740669,83.0410953727491,Cellular-ES
38,3,38,93.92623418369611,83.70801702836415,Cellular-ES
39,3,39,93.92623418369611,84.28007841694091,Cellular-ES
40,3,40,93.92623418369611,84.07596319987928,Cellular-ES
41,3,41,93.92623418369611,84.6990949797328,Cellular-ES
42,3,42,93.92623418369611,85.23991757478922,Cellular-ES
43,3,43,93.92623418369611,85.75488496925189,Cellular-ES
44,3,44,93.92623418369611,86.26232568836414,Cellular-ES
45,3,45,93.92623418369611,86.33979717690549,Cellular-ES
46,3,46,93.92623418369611,86.43484804386385,Cellular-ES
47,3,47,93.92623418369611,86.64854711299631,Cellular-ES
48,3,48,93.92623418369611,86.94378658415519,Cellular-ES
49,3,49,93.92623418369611,87.00125390177998,Cellular-ES
50,3,0,86.93132325320357,7.9408614842251435,Cellular-ES
51,3,1,86.93132325320357,12.246122830505906,Cellular-ES
52,3,2,86.93132325320357,17.274510234670554,Cellular-ES
53,3,3,87.38885228748467,21.747490148222216,Cellular-ES
54,3,4,87.38885228748467,26.27008801005005,Cellular-ES
55,3,5,89.6919850159694,30.970294501004208,Cellular-ES
56,3,6,89.6919850159694,34.622842410417384,Cellular-ES
57,3,7,89.6919850159694,38.67835019983016,Cellular-ES
58,3,8,89.6919850159694,42.35426623229766,Cellular-ES
59,3,9,89.6919850159694,45.247195106368224,Cellular-ES
60,3,10,89.79779186057905,48.33060898754507,Cellular-ES
61,3,11,90.05995225931166,51.53062014943041,Cellular-ES
62,3,12,91.09144410001734,53.802723130089156,Cellular-ES
63,3,13,91.09144410001734,56.4566354903275,Cellular-ES
64,3,14,91.09144410001734,58.47469696468698,Cellular-ES
65,3,15,91.09144410001734,60.46160841114652,Cellular-ES
66,3,16,91.09144410001734,62.645325754999554,Cellular-ES
67,3,17,91.09144410001734,64.32219389527742,Cellular-ES
68,3,18,91.09144410001734,65.36648326905221,Cellular-ES
69,3,19,91.09144410001734,67.8399541709637,Cellular-ES
70,3,20,91.09144410001734,69.61029129271958,Cellular-ES
71,3,21,91.09144410001734,70.63306873327164,Cellular-ES
72,3,22,91.09144410001734,72.12233686495287,Cellular-ES
73,3,23,91.09144410001734,73.07705263790679,Cellular-ES
74,3,24,91.09144410001734,74.0346302399544,Cellular-ES
75,3,25,92.52623418369612,75.21687539148273,Cellular-ES
76,3,26,92.89377190755144,76.20837178230093,Cellular-ES
77,3,27,92.91864881230686,76.84548524322425,Cellular-ES
78,3,28,92.91864881230686,77.18640043096997,Cellular-ES
79,3,29,92.91864881230686,78.04228463096968,Cellular-ES
80,3,30,92.91864881230686,79.25065562769288,Cellular-ES
81,3,31,92.91864881230686,79.95027099711362,Cellular-ES
82,3,32,92.91864881230686,80.41641156049928,Cellular-ES
83,3,33,92.91864881230686,80.79013948467343,Cellular-ES
84,3,34,92.91864881230686,81.01921557112686,Cellular-ES
85,3,35,93.8045108108278,81.36162382140482,Cellular-ES
86,3,36,93.8045108108278,81.8406910398658,Cellular-ES
87,3,37,93.8045108108278,82.37873920808941,Cellular-ES
88,3,38,93.8045108108278,83.04579468351962,Cellular-ES
89,3,39,93.8045108108278,83.1312906233224,Cellular-ES
90,3,40,93.8045108108278,83.30386706567641,Cellular-ES
91,3,41,93.8045108108278,83.89645209136906,Cellular-ES
92,3,42,93.8045108108278,84.16165224691228,Cellular-ES
93,3,43,93.8045108108278,84.77981616331589,Cellular-ES
94,3,44,93.8045108108278,84.95033678969178,Cellular-ES
95,3,45,94.00885295419135,85.37679321095887,Cellular-ES
96,3,46,94.00885295419135,85.4137468477033,Cellular-ES
97,3,47,94.00885295419135,85.57885522701258,Cellular-ES
98,3,48,94.00885295419135,85.92372733715816,Cellular-ES
99,3,49,94.20002649838048,86.35671886875625,Cellular-ES
100,3,0,86.55839945886841,9.616849443092855,Cellular-ES
101,3,1,87.48581399532748,16.480861508119617,Cellular-ES
102,3,2,87.48581399532748,21.735455218146345,Cellular-ES
103,3,3,88.11843620205656,26.6935914059735,Cellular-ES
104,3,4,88.11843620205656,31.514615105330076,Cellular-ES
105,3,5,88.11843620205656,35.55324244450914,Cellular-ES
106,3,6,89.91637646909355,38.79348685875227,Cellular-ES
107,3,7,89.91637646909355,41.74990128483744,Cellular-ES
108,3,8,89.91637646909355,45.76763295790607,Cellular-ES
109,3,9,93.37565906702363,48.8453454421936,Cellular-ES
110,3,10,93.37565906702363,52.00870952115625,Cellular-ES
111,3,11,93.37565906702363,55.70008591130767,Cellular-ES
112,3,12,93.37565906702363,57.897606679787344,Cellular-ES
113,3,13,93.37565906702363,59.97877234755348,Cellular-ES
114,3,14,93.37565906702363,62.48662445303479,Cellular-ES
115,3,15,93.37565906702363,64.62086094326155,Cellular-ES
116,3,16,93.37565906702363,66.45518332148407,Cellular-ES
117,3,17,93.37565906702363,67.37232649197865,Cellular-ES
118,3,18,93.37565906702363,68.89485711381683,Cellular-ES
119,3,19,93.37565906702363,70.93710290454489,Cellular-ES
120,3,20,93.37565906702363,72.81922843640716,Cellular-ES
121,3,21,93.37565906702363,74.13736790088024,Cellular-ES
122,3,22,93.37565906702363,74.74974522502735,Cellular-ES
123,3,23,93.37565906702363,75.53319501415521,Cellular-ES
124,3,24,93.37565906702363,76.79318709695097,Cellular-ES
125,3,25,93.37565906702363,77.80597824309119,Cellular-ES
126,3,26,93.37565906702363,78.79621820232926,Cellular-ES
127,3,27,93.37565906702363,79.73422660757767,Cellular-ES
128,3,28,93.37565906702363,80.53611737271672,Cellular-ES
129,3,29,93.37565906702363,81.29766144385468,Cellular-ES
130,3,30,93.40268773941155,81.63555232862879,Cellular-ES
131,3,31,95.14684287940713,82.13879970483758,Cellular-ES
132,3,32,95.14684287940713,82.44858510154333,Cellular-ES
133,3,33,95.14684287940713,82.82093092356146,Cellular-ES
134,3,34,95.14684287940713,83.4866459100711,Cellular-ES
135,3,35,95.14684287940713,83.71665590604651,Cellular-ES
136,3,36,95.14684287940713,84.11178750441138,Cellular-ES
137,3,37,95.14684287940713,84.44996637236568,Cellular-ES
138,3,38,95.14684287940713,84.71639958294548,Cellular-ES
139,3,39,95.14684287940713,85.47577742461449,Cellular-ES
140,3,40,95.14684287940713,86.07391431889643,Cellular-ES
141,3,41,95.14684287940713,86.17787838378035,Cellular-ES
142,3,42,95.14684287940713,86.12999056877811,Cellular-ES
143,3,43,95.14684287940713,86.45879115428014,Cellular-ES
144,3,44,95.14684287940713,86.74257308829539,Cellular-ES
145,3,45,95.14684287940713,87.12648382420154,Cellular-ES
146,3,46,95.14684287940713,87.29975865271987,Cellular-ES
147,3,47,95.14684287940713,87.35923674118114,Cellular-ES
148,3,48,95.14684287940713,87.50381148894647,Cellular-ES
149,3,49,95.14684287940713,87.46832967800243,Cellular-ES
150,3,0,87.54348970450212,7.725987768584086,Cellular-ES
151,3,1,87.54348970450212,11.78154404035684,Cellular-ES
152,3,2,87.54348970450212,15.218037334809178,Cellular-ES
153,3,3,88.8919850159694,19.478418896174272,Cellular-ES
154,3,4,88.8919850159694,24.130720846779067,Cellular-ES
155,3,5,88.8919850159694,28.631995592789092,Cellular-ES
156,3,6,89.09399506689742,32.66143219863216,Cellular-ES
157,3,7,91.32050018627741,37.97466976499086,Cellular-ES
158,3,8,91.32050018627741,41.748084702053085,Cellular-ES
159,3,9,91.32050018627741,45.558850696326466,Cellular-ES
160,3,10,91.32050018627741,49.54349920386815,Cellular-ES
161,3,11,91.32050018627741,52.52293203835931,Cellular-ES
162,3,12,91.32050018627741,55.39524619057784,Cellular-ES
163,3,13,91.32050018627741,57.59774480009049,Cellular-ES
164,3,14,91.32050018627741,59.36341560159387,Cellular-ES
165,3,15,91.32050018627741,62.272440390352315,Cellular-ES
166,3,16,91.32050018627741,64.58507515279146,Cellular-ES
167,3,17,91.32256843934148,66.25600222947547,Cellular-ES
168,3,18,91.6960091662691,68.17401016549945,Cellular-ES
169,3,19,91.6960091662691,69.7505836900473,Cellular-ES
170,3,20,91.6960091662691,70.92687139508035,Cellular-ES
171,3,21,91.6960091662691,72.66723995910291,Cellular-ES
172,3,22,91.6960091662691,73.75784678535145,Cellular-ES
173,3,23,92.54772699897764,74.64351838071401,Cellular-ES
174,3,24,94.48845456116898,75.66800335044844,Cellular-ES
175,3,25,94.48845456116898,76.6417032126301,Cellular-ES
176,3,26,94.48845456116898,77.35293001247456,Cellular-ES
177,3,27,94.48845456116898,78.10638217394042,Cellular-ES
178,3,28,94.48845456116898,78.99844229464169,Cellular-ES
179,3,29,94.48845456116898,79.56778480592337,Cellular-ES
180,3,30,94.48845456116898,80.26394065118012,Cellular-ES
181,3,31,94.48845456116898,80.36858632947023,Cellular-ES
182,3,32,94.48845456116898,80.92122251427652,Cellular-ES
183,3,33,94.48845456116898,81.77657371659323,Cellular-ES
184,3,34,94.48845456116898,82.1152008187935,Cellular-ES
185,3,35,94.48845456116898,82.71724471274723,Cellular-ES
186,3,36,94.48845456116898,83.64840351302485,Cellular-ES
187,3,37,94.48845456116898,83.98348134275176,Cellular-ES
188,3,38,94.48845456116898,84.08843840074552,Cellular-ES
189,3,39,94.48845456116898,84.29788554740239,Cellular-ES
190,3,40,94.48845456116898,84.80164814043994,Cellular-ES
191,3,41,94.48845456116898,85.16622127711817,Cellular-ES
192,3,42,95.88581399532748,85.2977635412961,Cellular-ES
193,3,43,95.88581399532748,85.67943779230619,Cellular-ES
194,3,44,95.88581399532748,86.13440919530237,Cellular-ES
195,3,45,95.88581399532748,86.28258283207397,Cellular-ES
196,3,46,95.88581399532748,86.47204289042544,Cellular-ES
197,3,47,95.88581399532748,86.73748906167053,Cellular-ES
198,3,48,95.88581399532748,87.02739740544583,Cellular-ES
199,3,49,95.88581399532748,87.15370744077094,Cellular-ES
200,3,0,87.29600916626912,9.293468291790887,Cellular-ES
201,3,1,88.89600916626911,13.747359406525808,Cellular-ES
202,3,2,89.72623418369612,19.11830472670311,Cellular-ES
203,3,3,91.11864881230686,24.70196310825956,Cellular-ES
204,3,4,91.11864881230686,28.924980523056245,Cellular-ES
205,3,5,91.11864881230686,33.94078106690736,Cellular-ES
206,3,6,91.11864881230686,37.86392766314169,Cellular-ES
207,3,7,91.11864881230686,40.958307379967735,Cellular-ES
208,3,8,91.11864881230686,43.91943829417535,Cellular-ES
209,3,9,91.11864881230686,47.225305217214625,Cellular-ES
210,3,10,91.11864881230686,50.5991421108128,Cellular-ES
211,3,11,91.11864881230686,52.90710129882958,Cellular-ES
212,3,12,91.38100667335023,55.26279406400486,Cellular-ES
213,3,13,91.38100667335023,57.61112709437577,Cellular-ES
214,3,14,91.38100667335023,60.018861091711926,Cellular-ES
215,3,15,91.38100667335023,61.92713098742818,Cellular-ES
216,3,16,91.38100667335023,64.5470657016333,Cellular-ES
217,3,17,91.38100667335023,65.84325985444207,Cellular-ES
218,3,18,91.38100667335023,67.07107190239908,Cellular-ES
219,3,19,91.38100667335023,68.69022410241877,Cellular-ES
220,3,20,91.38100667335023,70.58297460444626,Cellular-ES
221,3,21,91.38100667335023,71.35420194534557,Cellular-ES
222,3,22,91.38100667335023,72.23989919296594,Cellular-ES
223,3,23,91.89600916626911,73.39906469871791,Cellular-ES
224,3,24,91.89600916626911,74.61513875467583,Cellular-ES
225,3,25,91.89600916626911,75.76549127753808,Cellular-ES
226,3,26,91.89600916626911,76.83645804346666,Cellular-ES
227,3,27,91.89600916626911,77.50349465210232,Cellular-ES
228,3,28,91.89600916626911,77.7814320373834,Cellular-ES
229,3,29,91.92050018627741,78.42268292198207,Cellular-ES
230,3,30,91.92050018627741,78.89745426838066,Cellular-ES
231,3,31,92.85995225931165,79.37748511123182,Cellular-ES
232,3,32,92.85995225931165,80.3031741788114,Cellular-ES
233,3,33,92.85995225931165,80.89014026454703,Cellular-ES
234,3,34,92.85995225931165,81.67154378882783,Cellular-ES
235,3,35,92.85995225931165,81.94372740054507,Cellular-ES
236,3,36,92.85995225931165,82.49680068956391,Cellular-ES
237,3,37,92.85995225931165,82.73104332264823,Cellular-ES
238,3,38,92.85995225931165,83.17818978527772,Cellular-ES
239,3,39,92.85995225931165,83.9303040819561,Cellular-ES
240,3,40,92.85995225931165,84.21396642491092,Cellular-ES
241,3,41,92.85995225931165,84.56770945862728,Cellular-ES
242,3,42,92.85995225931165,85.11463438355983,Cellular-ES
243,3,43,92.85995225931165,85.15101381766199,Cellular-ES
244,3,44,92.85995225931165,85.41886404937343,Cellular-ES
245,3,45,92.85995225931165,85.71911289763399,Cellular-ES
246,3,46,93.32050018627741,86.40963002714463,Cellular-ES
247,3,47,93.32050018627741,86.61049876050927,Cellular-ES
248,3,48,93.32050018627741,86.70209408184277,Cellular-ES
249,3,49,94.12050018627741,86.93985278698192,Cellular-ES
250,3,0,86.9863830303866,9.60726897794447,Cellular-ES
251,3,1,86.9863830303866,13.466188852183798,Cellular-ES
252,3,2,86.9863830303866,17.44359069516625,Cellular-ES
253,3,3,91.92256843934148,22.2161479312644,Cellular-ES
254,3,4,91.92256843934148,26.397507682412428,Cellular-ES
255,3,5,91.92256843934148,29.54699752428796,Cellular-ES
256,3,6,91.92256843934148,32.935092944024014,Cellular-ES
257,3,7,91.92256843934148,35.997722200819744,Cellular-ES
258,3,8,91.92256843934148,38.10869501741107,Cellular-ES
259,3,9,91.92256843934148,41.593109724662376,Cellular-ES
260,3,10,91.92256843934148,44.55057185082019,Cellular-ES
261,3,11,91.92256843934148,47.085517222259604,Cellular-ES
262,3,12,91.92256843934148,50.02711144137311,Cellular-ES
263,3,13,91.92256843934148,52.102590105793354,Cellular-ES
264,3,14,91.92256843934148,53.977832204988985,Cellular-ES
265,3,15,91.92256843934148,55.32888221652428,Cellular-ES
266,3,16,91.92256843934148,56.85662763485768,Cellular-ES
267,3,17,91.92256843934148,58.82487857097993,Cellular-ES
268,3,18,91.92256843934148,60.569362372304965,Cellular-ES
269,3,19,91.92256843934148,62.199683185975516,Cellular-ES
270,3,20,93.59995175959268,63.77654619636536,Cellular-ES
271,3,21,93.59995175959268,64.90794839527149,Cellular-ES
272,3,22,93.59995175959268,66.01599411385897,Cellular-ES
273,3,23,93.59995175959268,67.2767335167982,Cellular-ES
274,3,24,93.59995175959268,68.48639282704781,Cellular-ES
275,3,25,93.59995175959268,69.4543732929757,Cellular-ES
276,3,26,93.59995175959268,71.0206482814007,Cellular-ES
277,3,27,93.59995175959268,72.04535298525923,Cellular-ES
278,3,28,93.59995175959268,72.94638522769422,Cellular-ES
279,3,29,93.59995175959268,73.93813259587887,Cellular-ES
280,3,30,93.59995175959268,74.53805076158682,Cellular-ES
281,3,31,93.59995175959268,75.62629718790032,Cellular-ES
282,3,32,93.59995175959268,75.34679569447566,Cellular-ES
283,3,33,93.72256843934147,75.83228498300132,Cellular-ES
284,3,34,93.72256843934147,76.43669159178461,Cellular-ES
285,3,35,93.72256843934147,77.09617521986593,Cellular-ES
286,3,36,93.72256843934147,77.35780834206406,Cellular-ES
287,3,37,93.72256843934147,78.1344381475929,Cellular-ES
288,3,38,93.72256843934147,78.48795408816471,Cellular-ES
289,3,39,93.72256843934147,79.21303230074962,Cellular-ES
290,3,40,93.72256843934147,80.09336478554445,Cellular-ES
291,3,41,93.72256843934147,80.39912698527839,Cellular-ES
292,3,42,94.32256843934148,81.04898279768248,Cellular-ES
293,3,43,94.32256843934148,81.53310735389162,Cellular-ES
294,3,44,94.32256843934148,82.09581414869537,Cellular-ES
295,3,45,94.32256843934148,82.36445616894216,Cellular-ES
296,3,46,94.32256843934148,82.80439299267904,Cellular-ES
297,3,47,94.32256843934148,82.69675254021426,Cellular-ES
298,3,48,94.32256843934148,82.87817587004646,Cellular-ES
